,WELLNAME,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,Газовый_фактор,Коэффициент_продуктиности,Забойное давление,Глубина_спуска_ЭЦН_по_стволу_MD,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
83,1617_AR,3641.0,3068.66,96.349998474,3465.11,0.1596,1.524e-05,2976.0,0.062,1.524e-05,0.073,0.1596,3232.441907031,0.913238735,15.0126496827506,2976.290144531,0.01,185.248431787,859.029864446,0.667810023,1,126.238747265
84,1618_AR,4066.0,3065.38,70.150001526,3590.0,0.16,1.524e-05,3257.22,0.062,1.524e-05,0.073,0.16,836.869569531,1.184749461,40.6211728723781,3257.219899219,0.029999999,255.13200625,858.935000863,0.661599994,2,113.784848356
85,1901_AR,4104.0,3101.62,46.799999237,3542.44,0.1596,1.524e-05,3169.4,0.062,0.0001524,0.073,0.1596,256.000009375,2.404504632,73.5614390336882,3169.399994531,0.150000006,255.13200625,858.935000863,0.661599994,2,180.467180957
86,1902_AR,4210.0,3101.73,25.399999619,3661.61,0.1596,0.0001524,3229.0,0.062,0.0001524,0.073,0.1596,736.37925918,4.257895975,71.5669952096195,3229.000003125,0.079999998,255.13200625,858.935000863,0.661599994,2,165.855901473
87,1903_AR,4030.3,3101.99,67.5,3551.33,0.1596,0.0001524,3269.0,0.062,0.0001524,0.073,0.1596,2018.481219922,4.233421171,95.1289882741265,3054.999982031,0.0,255.13200625,858.935000863,0.661599994,2,262.545273644
88,1904_AR,4170.0,3101.63,55.299999237,3396.84,0.159,0.0001524,3029.63,0.062,0.0001524,0.073,0.159,1539.021281641,5.497130161,94.6835086704902,3029.630144531,0.0,255.13200625,858.935000863,0.661599994,2,241.265774367
89,1904_AR_FON,4170.0,3101.63,59.700000763,3396.84,0.159,0.0001524,3029.63,0.062,0.0001524,0.073,0.159,771.170419922,3.91750059,77.1644607528204,0.0,0.0,255.13200625,858.935000863,0.661599994,2,201.060251289
90,1905_AR_PROJECT,4107.0,3087.14,91.599998474,3469.31,0.1596,0.0001524,3058.32,0.062,0.0001524,0.073,0.1596,256.000009375,5.53613877,35.3713822137185,3058.320039844,0.0,255.13200625,858.935000863,0.661599994,2,173.602824179
91,1906_AR,3091.0,3086.54,94.699996948,3091.0,0.1596,0.0001524,2895.61,0.062,0.0001524,0.073,0.1596,256.000009375,3.312364661,31.6945621385989,2895.610120312,0.280000001,255.13200625,858.935000863,0.661599994,2,209.395534448
92,1907_AR,3870.0,3072.02,84.050003052,3721.0,0.159,1.524e-05,2939.0,0.062,1.524e-05,0.073,0.159,774.867393359,2.705646759,54.7269049481382,2939.000067188,0.349999994,255.13200625,858.935000863,0.661599994,2,193.901705869
