,Обводненность_для_расчета_PVT_параметров,Глубина_по_стволу_cs,Внутренний_диаметр_эксплуатационной_колонны_cs,Внутренняя_шероховатость_эксплуатационной_колонны_cs,Глубина_по_стволу,Внутренний_диаметр_НКТ,Внутренняя_шероховатость_НКТ,Внешний_диаметр_НКТ,Внутренний_диаметр_эксплуатационной_колонны,FILTERED_MD_LAST_VALUE,FILTERED_TVD_LAST_VALUE,Газовый_фактор,Коэффициент_продуктиности,Глубина_спуска_ЭЦН_по_стволу_MD,Частота_ЭЦН,Количество_ступеней,Коэффициент_износа,Содержание_растворенного_газа,Плотность_нефти,Удельный_вес_газа,Корреляция_вязкости_нефти,Пластовое_давление
33,98.400001526,3845.0,0.1596,0.0001524,3432.6,0.062,0.0001524,0.073,0.1596,3850.0,3001.92,3071.63740625,0.67415006,3432.599854688,52.200000763,376,0.015,285.943002344,833.945999661,0.993130028,0,186.448971806
34,85.349998474,3520.0,0.1596,1.524e-05,3111.0,0.062,1.524e-05,0.073,0.1596,3520.0,3040.65,3841.826477344,0.894910533,3111.000135938,49.0,418,0.0,255.13200625,858.935000863,0.661599994,1,122.610448725
35,96.150001526,3701.0,0.1596,0.0001524,3270.79,0.062,0.0001524,0.073,0.1596,3750.0,2944.84,1429.060634961,1.922869758,3270.790047656,55.5,354,0.0,255.13200625,858.935000863,0.661599994,2,106.920483163
36,90.300003052,3456.43,0.1596,0.0001524,3183.58,0.062,0.0001524,0.073,0.1596,4001.0,3086.17,705.639774707,3.262091474,3183.580040625,57.0,401,0.07,255.13200625,858.935000863,0.661599994,2,129.474805503
37,37.150001526,3535.93,0.1596,0.0001524,2934.0,0.062,0.0001524,0.073,0.1596,3535.93,3061.21,1303.94004375,0.709848553,2934.0000375,57.0,401,0.360000014,255.13200625,858.935000863,0.661599994,2,118.687953126
38,69.449996948,3268.0,0.1596,0.0001524,3094.98,0.062,0.0001524,0.073,0.1596,3268.0,3022.12,4345.559354687,0.252734304,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,221.653321621
39,51.299999237,3738.0,0.1596,0.0001524,3305.4,0.062,0.0001524,0.073,0.1596,3924.0,3062.26,4349.035866406,0.417553857,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,2,206.061424551
40,37.799999237,3482.9,0.1596,0.0001524,3052.9,0.062,0.0001524,0.073,0.1596,3670.0,3064.59,3553.699969531,3.140810128,3052.900017187,35.0,529,0.0,255.13200625,858.935000863,0.661599994,2,185.370285726
41,44.599998474,3482.9,0.1596,0.0001524,3052.9,0.062,0.0001524,0.073,0.1596,3670.0,3064.59,4351.714632031,0.652585893,0.0,0.0,0,0.0,255.13200625,858.935000863,0.661599994,2,161.639225648
42,95.099998474,3841.0,0.1596,0.0001524,3487.55,0.062,0.0001524,0.073,0.1596,3880.0,3075.0,3459.438914062,1.779061317,3487.549877344,49.799999237,375,0.0,285.943002344,833.945999661,0.993130028,0,102.311558619
43,70.61693192439203,3344.863028571429,0.1557371428571428,0.0001022386285714,2938.444124293785,0.062795293220339,0.0001137439548022,0.0737022598870056,0.1582350282485875,3579.7329775280896,3055.6238764044947,2128.045113809023,9.216998375051428,0.0,0.0,0,0.0,285.942331787,833.945774672,0.993130028,0,1.013253489
44,100.0,1568.0,0.16,0.0001524,1408.0,0.078,0.0001524,0.089,0.16,3450.0,3056.04,0.0,8.738949847,0.0,0.0,0,0.0,285.943002344,833.945999661,0.993130028,0,167.719084989
45,95.900001526,3430.37,0.1602,0.0001524,3248.28,0.062,0.0001524,0.073,0.1602,3475.4,3084.93,338.597272852,0.654423304,3072.850129688,53.0,401,0.02,285.943002344,833.945999661,0.993130028,0,225.575808804
46,96.099998474,3430.37,0.1602,0.0001524,3248.28,0.062,0.0001524,0.073,0.1602,3475.4,3084.93,1221.006031055,4.694264446,3248.280091406,56.0,354,0.02,285.943002344,833.945999661,0.993130028,0,110.842978761
