"","WELLNAME","FLUID","PROP_CORR","VISC_CORR","PVT_IS_MATCHED","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","OilBubpnt_p1","OilBubpnt_p2","OilBubpnt_sd","OilSolgor_p1","OilSolgor_p2","OilSolgor_sd","OilOilfvf_p1","OilOilfvf_p2","OilOilfvf_p3","OilOilfvf_p4","OilOilfvf_sd","OilOilvis_p1","OilOilvis_p2","OilOilvis_sd","GasZfact_p1","GasZfact_p2","GasZfact_sd","GasGasfvf_p1","GasGasfvf_p2","GasGasfvf_sd","GasGasvis_p1","GasGasvis_p2","GasGasvis_sd","ConDewpnt_p1","ConDewpnt_p2","ConDewpnt_sd","ConCgr_p1","ConCgr_p2","ConCgr_sd","ConZFact_p1","ConZFact_p2","ConZFact_sd","ConGasfvf_p1","ConGasfvf_p2","ConGasfvf_sd","ConGasvis_p1","ConGasvis_p2","ConGasvis_sd"
"COLUMN_LABELS","Имя_скважины","Флюид","Корреляция_для_свойств(Pb, Rs, FVF)","Корреляция_вязкости","Флаг_модель_PVT_адаптирована","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1901_AR","1901_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1902_AR","1902_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1903_AR","1903_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1904_AR","1904_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1904_AR_FON","1904_AR_FON","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1905_AR_PROJECT","1905_AR_PROJECT","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1906_AR","1906_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1907_AR","1907_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1_SML","1_SML","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.00324","5.03247","0","1.00864","-3.81407","0","0.869667","0.126449","1","1.0E-8","0","1.16675","0.220105","0","","","","","","","","","","","","","","","","","","","","","","","",""
"200-Kulg","200-Kulg","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.957221","-170.995","3.4E+35","1.13923","1.03178E-10","3.4E+35","0.853785","0.150083","1","0","3.4E+35","1.07035","0.0271358","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
