"","INDEX","WELLNAME","MD","TVD","ZENITH"
"COLUMN_LABELS","Индекс","Имя_скважины","Глубина_по_стволу","Глубина_по_вертикали","Зенитный_угол"
"0_1340_AR","0","1340_AR","0","0","0.6039533413557"
"1_1340_AR","1","1340_AR","180","179.99","0.6039533413557"
"2_1340_AR","2","1340_AR","190","189.99","0"
"3_1340_AR","3","1340_AR","280","279.84","3.3084329856531"
"4_1340_AR","4","1340_AR","340","339","9.5986383834398"
"5_1340_AR","5","1340_AR","600","589.93","15.178374674787"
"6_1340_AR","6","1340_AR","690","674.38","20.226480843123"
"7_1340_AR","7","1340_AR","2830","2623.55","24.380097601062"
"8_1340_AR","8","1340_AR","2880","2665.34","33.300768221311"
"9_1340_AR","9","1340_AR","2930","2704.25","38.903936733463"
"10_1340_AR","10","1340_AR","3230","2919.56","44.135086794349"
"11_1340_AR","11","1340_AR","3310","2972.23","48.823941502385"
"12_1340_AR","12","1340_AR","3350","2994.55","56.082403047103"
"13_1340_AR","13","1340_AR","3400","3018.46","61.432092972022"
"14_1340_AR","14","1340_AR","3460","3041.79","67.118074545375"
"15_1340_AR","15","1340_AR","3513","3057.62","72.621707200868"
"16_1340_AR","16","1340_AR","3560","3066.59","78.997544531261"
"17_1340_AR","17","1340_AR","3660","3074.99","85.181476567439"
"18_1340_AR","18","1340_AR","3770","3073.84","90.59901224337"
"19_1340_AR","19","1340_AR","3780","3073.22","93.554618140392"
"0_1341_AR","0","1341_AR","0","0","0.4931250772483"
"1_1341_AR","1","1341_AR","270","269.99","0.4931250772483"
"2_1341_AR","2","1341_AR","280","279.99","0"
"3_1341_AR","3","1341_AR","420","419.86","2.4693286791531"
"4_1341_AR","4","1341_AR","480","479.39","7.1762050541344"
"5_1341_AR","5","1341_AR","550","547.8","12.23524512792"
"6_1341_AR","6","1341_AR","610","605.17","17.027040346586"
"7_1341_AR","7","1341_AR","2670","2527.26","21.084100414588"
"8_1341_AR","8","1341_AR","2730","2580.89","26.641033850882"
"9_1341_AR","9","1341_AR","2820","2657.6","31.533630155915"
"10_1341_AR","10","1341_AR","2860","2689.19","37.837845257762"
